CODE,NAME,COMMENT,LAST UPDATE,BIG THEME,SOURCE ACRONYM,SOURCE,SOURCE URL,FREQUENCY,MEASURE,UNIT,SERIES STATUS,THEME CODE,COUNTRY,NUMERICA
HOMIC,Número de homicídios,"Óbito por causa externa ou não-natural. Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM. Para o período de 1979 a 1995 foram considerados os códigos CIDs 9: E960-E978 (Homicídios e lesões provocadas intencionalmente outras pessoas) e E990-E999 (Intervenções legais).De 1996 em diante, foram utilizados os códigos CIDs 10: X85-Y09 (agressão) e Y35 (intervenção legal). Critério de seleção: Óbitos por residência. <p>
    Para acessar outras desagregações, utilize os atalhos a seguir:
    <a href=http://www.ipeadata.gov.br/ExibeSerieR.aspx?stub=1&serid=1611149386&MINDATA=2015&MAXDATA=2025&TNIVID=0&TPAID=1&module=R>Brasil</a> |
    <a href=http://www.ipeadata.gov.br/ExibeSerieR.aspx?stub=1&serid=1611149386&MINDATA=2015&MAXDATA=2025&TNIVID=1&TPAID=1&module=R>por Região</a> |
    <a href=http://www.ipeadata.gov.br/ExibeSerieR.aspx?stub=1&serid=1611149386&MINDATA=2015&MAXDATA=2025&TNIVID=2&TPAID=1&module=R>por UF</a> |
    <a href=http://www.ipeadata.gov.br/ExibeSerieR.aspx?stub=1&serid=1611149386&MINDATA=2015&MAXDATA=2025&TNIVID=5&TPAID=98&module=R>por Capitais</a>.

<p> <a href=http://www.ipeadata.gov.br/ExibeSerieR.aspx?stub=1&serid=1611149387&MINDATA=2015&MAXDATA=2025&TNIVID=0&TPAID=1&module=R>Mulheres</a> |
    <a href=http://www.ipeadata.gov.br/ExibeSerieR.aspx?stub=1&serid=1611149390&MINDATA=2015&MAXDATA=2025&TNIVID=0&TPAID=1&module=R>Homens</a> |
    <a href=http://www.ipeadata.gov.br/ExibeSerieR.aspx?stub=1&serid=1611149389&MINDATA=2015&MAXDATA=2025&TNIVID=0&TPAID=1&module=R>Jovens</a> |
    <a href=http://www.ipeadata.gov.br/ExibeSerieR.aspx?stub=1&serid=1611149388&MINDATA=2015&MAXDATA=2025&TNIVID=0&TPAID=1&module=R>Jovens (Mulheres)</a> |
    <a href=http://www.ipeadata.gov.br/ExibeSerieR.aspx?stub=1&serid=1611149391&MINDATA=2015&MAXDATA=2025&TNIVID=0&TPAID=1&module=R>Jovens (Homens)</a>.

<p> <a href=""https://www.ipea.gov.br/atlasviolencia/filtros-series"" target=""_blank"">Referência: Atlas da Violência</a>

<p> <a href=""http://www.ipeadata.gov.br/Default.aspx"" target=""_blank"">Ipeadata - Página principal</a>.",2025-02-27T11:29:09.957-03:00,Regional,DATASUS,DATASUS – Site SUS (Sistema Único de Saúde).,www.datasus.gov.br,Anual,Unidade,,,20,BRA,True
HOMICF,Número de homicídios do sexo feminino,"Óbito por causa externa ou não-natural.Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
Para o período de 1979 a 1995 considera os códigos CIDs 9: E960-E978 (Homicídios e lesões provocadas intencionalmente outras pessoas) e E990-E999 (Intervenções legais).
Considera os códigos CIDs 10: X85-Y09 (agressão) e Y35 (intervenção legal).
Critério de seleção: Óbitos por residência. Observação: Considera apenas o sexo feminino.<p>
    Para acessar outras desagregações, utilize os atalhos a seguir:
    <a href=http://www.ipeadata.gov.br/ExibeSerieR.aspx?stub=1&serid=1611149387&MINDATA=2015&MAXDATA=2025&TNIVID=0&TPAID=1&module=R>Brasil</a> |
    <a href=http://www.ipeadata.gov.br/ExibeSerieR.aspx?stub=1&serid=1611149387&MINDATA=2015&MAXDATA=2025&TNIVID=1&TPAID=1&module=R>por Região</a> |
    <a href=http://www.ipeadata.gov.br/ExibeSerieR.aspx?stub=1&serid=1611149387&MINDATA=2015&MAXDATA=2025&TNIVID=2&TPAID=1&module=R>por UF</a> |
    <a href=http://www.ipeadata.gov.br/ExibeSerieR.aspx?stub=1&serid=1611149387&MINDATA=2015&MAXDATA=2025&TNIVID=5&TPAID=98&module=R>por Capitais</a>.

<p> <a href=http://www.ipeadata.gov.br/ExibeSerieR.aspx?stub=1&serid=1611149386&MINDATA=2015&MAXDATA=2025&TNIVID=0&TPAID=1&module=R>Série principal</a>

<p> <a href=""https://www.ipea.gov.br/atlasviolencia/filtros-series"" target=""_blank"">Referência: Atlas da Violência</a>

<p> <a href=""http://www.ipeadata.gov.br/Default.aspx"" target=""_blank"">Ipeadata - Página principal</a>.
",2025-02-27T11:29:19.16-03:00,Regional,DATASUS,DATASUS – Site SUS (Sistema Único de Saúde).,www.datasus.gov.br,Anual,Unidade,,,20,BRA,True
HOMICFJ,Número de homicídios de jovens de 15 a 29 anos do sexo feminino,"Óbito por causa externa ou não-natural.Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
Para o período de 1979 a 1995 considera os códigos CIDs 9: E960-E978 (Homicídios e lesões provocadas intencionalmente outras pessoas) e E990-E999 (Intervenções legais).
Considera os códigos CIDs 10: X85-Y09 (agressão) e Y35 (intervenção legal).
Critério de seleção: Óbitos por residência. Observação: Considera os óbitos da faixa etária de 15 a 29 anos do sexo feminino.<p>
    Para acessar outras desagregações, utilize os atalhos a seguir:
    <a href=http://www.ipeadata.gov.br/ExibeSerieR.aspx?stub=1&serid=1611149388&MINDATA=2015&MAXDATA=2025&TNIVID=0&TPAID=1&module=R>Brasil</a> |
    <a href=http://www.ipeadata.gov.br/ExibeSerieR.aspx?stub=1&serid=1611149388&MINDATA=2015&MAXDATA=2025&TNIVID=1&TPAID=1&module=R>por Região</a> |
    <a href=http://www.ipeadata.gov.br/ExibeSerieR.aspx?stub=1&serid=1611149388&MINDATA=2015&MAXDATA=2025&TNIVID=2&TPAID=1&module=R>por UF</a> |
    <a href=http://www.ipeadata.gov.br/ExibeSerieR.aspx?stub=1&serid=1611149388&MINDATA=2015&MAXDATA=2025&TNIVID=5&TPAID=98&module=R>por Capitais</a>.

<p> <a href=http://www.ipeadata.gov.br/ExibeSerieR.aspx?stub=1&serid=1611149386&MINDATA=2015&MAXDATA=2025&TNIVID=0&TPAID=1&module=R>Série principal</a>

<p> <a href=""https://www.ipea.gov.br/atlasviolencia/filtros-series"" target=""_blank"">Referência: Atlas da Violência</a>

<p> <a href=""http://www.ipeadata.gov.br/Default.aspx"" target=""_blank"">Ipeadata - Página principal</a>.
",2025-02-27T11:29:43-03:00,Regional,DATASUS,DATASUS – Site SUS (Sistema Único de Saúde).,www.datasus.gov.br,Anual,Unidade,,,20,BRA,True
HOMICJ,Número de homicídios de jovens de 15 a 29 anos,"Óbito por causa externa ou não-natural.Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
Para o período de 1979 a 1995 considera os códigos CIDs 9: E960-E978 (Homicídios e lesões provocadas intencionalmente outras pessoas) e E990-E999 (Intervenções legais).
Considera os códigos CIDs 10: X85-Y09 (agressão) e Y35 (intervenção legal).
Critério de seleção: Óbitos por residência. Observação: Considera os óbitos da faixa etária de 15 a 29 anos sem distinção de gênero.<p>
    Para acessar outras desagregações, utilize os atalhos a seguir:
    <a href=http://www.ipeadata.gov.br/ExibeSerieR.aspx?stub=1&serid=1611149389&MINDATA=2015&MAXDATA=2025&TNIVID=0&TPAID=1&module=R>Brasil</a> |
    <a href=http://www.ipeadata.gov.br/ExibeSerieR.aspx?stub=1&serid=1611149389&MINDATA=2015&MAXDATA=2025&TNIVID=1&TPAID=1&module=R>por Região</a> |
    <a href=http://www.ipeadata.gov.br/ExibeSerieR.aspx?stub=1&serid=1611149389&MINDATA=2015&MAXDATA=2025&TNIVID=2&TPAID=1&module=R>por UF</a> |
    <a href=http://www.ipeadata.gov.br/ExibeSerieR.aspx?stub=1&serid=1611149389&MINDATA=2015&MAXDATA=2025&TNIVID=5&TPAID=98&module=R>por Capitais</a>.

<p> <a href=http://www.ipeadata.gov.br/ExibeSerieR.aspx?stub=1&serid=1611149386&MINDATA=2015&MAXDATA=2025&TNIVID=0&TPAID=1&module=R>Série principal</a>

<p> <a href=""https://www.ipea.gov.br/atlasviolencia/filtros-series"" target=""_blank"">Referência: Atlas da Violência</a>

<p> <a href=""http://www.ipeadata.gov.br/Default.aspx"" target=""_blank"">Ipeadata - Página principal</a>.
",2025-02-27T11:29:35.39-03:00,Regional,DATASUS,DATASUS – Site SUS (Sistema Único de Saúde).,www.datasus.gov.br,Anual,Unidade,,,20,BRA,True
HOMICM,Número de homicídios do sexo masculino,"Óbito por causa externa ou não-natural.Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
Para o período de 1979 a 1995 considera os códigos CIDs 9: E960-E978 (Homicídios e lesões provocadas intencionalmente outras pessoas) e E990-E999 (Intervenções legais).
Considera os códigos CIDs 10: X85-Y09 (agressão) e Y35 (intervenção legal).
Critério de seleção: Óbitos por residência. Observação: Considera apenas o sexo masculino.<p>
    Para acessar outras desagregações, utilize os atalhos a seguir:
    <a href=http://www.ipeadata.gov.br/ExibeSerieR.aspx?stub=1&serid=1611149390&MINDATA=2015&MAXDATA=2025&TNIVID=0&TPAID=1&module=R>Brasil</a> |
    <a href=http://www.ipeadata.gov.br/ExibeSerieR.aspx?stub=1&serid=1611149390&MINDATA=2015&MAXDATA=2025&TNIVID=1&TPAID=1&module=R>por Região</a> |
    <a href=http://www.ipeadata.gov.br/ExibeSerieR.aspx?stub=1&serid=1611149390&MINDATA=2015&MAXDATA=2025&TNIVID=2&TPAID=1&module=R>por UF</a> |
    <a href=http://www.ipeadata.gov.br/ExibeSerieR.aspx?stub=1&serid=1611149390&MINDATA=2015&MAXDATA=2025&TNIVID=5&TPAID=98&module=R>por Capitais</a>.

<p> <a href=http://www.ipeadata.gov.br/ExibeSerieR.aspx?stub=1&serid=1611149386&MINDATA=2015&MAXDATA=2025&TNIVID=0&TPAID=1&module=R>Série principal</a>

<p> <a href=""https://www.ipea.gov.br/atlasviolencia/filtros-series"" target=""_blank"">Referência: Atlas da Violência</a>

<p> <a href=""http://www.ipeadata.gov.br/Default.aspx"" target=""_blank"">Ipeadata - Página principal</a>.",2025-02-27T11:29:27.473-03:00,Regional,DATASUS,DATASUS – Site SUS (Sistema Único de Saúde).,www.datasus.gov.br,Anual,Unidade,,,20,BRA,True
HOMICMJ,Número de homicídios de jovens de 15 a 29 anos do sexo masculino,"Óbito por causa externa ou não-natural.Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
Para o período de 1979 a 1995 considera os códigos CIDs 9: E960-E978 (Homicídios e lesões provocadas intencionalmente outras pessoas) e E990-E999 (Intervenções legais).
Considera os códigos CIDs 10: X85-Y09 (agressão) e Y35 (intervenção legal).
Critério de seleção: Óbitos por residência. Observação: Considera os óbitos da faixa etária de 15 a 29 anos do sexo masculino.<p>
    Para acessar outras desagregações, utilize os atalhos a seguir:
    <a href=http://www.ipeadata.gov.br/ExibeSerieR.aspx?stub=1&serid=1611149391&MINDATA=2015&MAXDATA=2025&TNIVID=0&TPAID=1&module=R>Brasil</a> |
    <a href=http://www.ipeadata.gov.br/ExibeSerieR.aspx?stub=1&serid=1611149391&MINDATA=2015&MAXDATA=2025&TNIVID=1&TPAID=1&module=R>por Região</a> |
    <a href=http://www.ipeadata.gov.br/ExibeSerieR.aspx?stub=1&serid=1611149391&MINDATA=2015&MAXDATA=2025&TNIVID=2&TPAID=1&module=R>por UF</a> |
    <a href=http://www.ipeadata.gov.br/ExibeSerieR.aspx?stub=1&serid=1611149391&MINDATA=2015&MAXDATA=2025&TNIVID=5&TPAID=98&module=R>por Capitais</a>.

<p> <a href=http://www.ipeadata.gov.br/ExibeSerieR.aspx?stub=1&serid=1611149386&MINDATA=2015&MAXDATA=2025&TNIVID=0&TPAID=1&module=R>Série principal</a>

<p> <a href=""https://www.ipea.gov.br/atlasviolencia/filtros-series"" target=""_blank"">Referência: Atlas da Violência</a>

<p> <a href=""http://www.ipeadata.gov.br/Default.aspx"" target=""_blank"">Ipeadata - Página principal</a>.
",2025-02-27T11:29:52.253-03:00,Regional,DATASUS,DATASUS – Site SUS (Sistema Único de Saúde).,www.datasus.gov.br,Anual,Unidade,,,20,BRA,True
THOMIC,Taxa de homicídios (100.000 Habitantes),"Óbito por causa externa ou não-natural, indiferente do tempo entre o evento lesivo e a morte propriamente, é categorizado como consequente de lesão provocada por violência (acidentes, homicídios, suicídios ou morte suspeita). Neste caso, a taxa por 100.000 habitantes é calculada através da divisão do indicador principal (número de homicídios) pelo total da população em questão, sendo este resultado multiplicado por 100.000. Fonte: Os dados originais são provenientes do SIM-DATASUS. Até 1995 as informações são do CID9. A partir de 1996 são do CID10. Elaboração Ipeadata: Cálculo da Taxa, divisão do grupo populacional multiplicado por 100.000 pela população de referência. Mais informações: Texto para Discussão IPEA 1848 e Declaração de Óbito (PDF).",2025-05-23T16:15:13.15-03:00,Regional,IPEA,Instituto de Pesquisa Econômica Aplicada,www.ipea.gov.br,Anual,(%),,,20,BRA,True
THOMICF,Taxa de homicídios do sexo feminino (100.000 Habitantes),"Óbito por causa externa ou não-natural, indiferente do tempo entre o evento lesivo e a morte propriamente, é categorizado como consequente de lesão provocada por violência (acidentes, homicídios, suicídios ou morte suspeita). Neste caso, a taxa por 100.000 habitantes é calculada através da divisão do indicador principal (número de homicídios do sexo feminino) pelo total da população em questão, sendo este resultado multiplicado por 100.000. Fonte: Os dados originais são provenientes do SIM-DATASUS. Até 1995 as informações são do CID9. A partir de 1996 são do CID10. Elaboração Ipeadata: Cálculo da Taxa, divisão do grupo populacional multiplicado por 100.000 pela população de referência. Mais informações: Texto para Discussão IPEA 1848 e Declaração de Óbito (PDF).",2025-05-23T16:29:39.85-03:00,Regional,IPEA,Instituto de Pesquisa Econômica Aplicada,www.ipea.gov.br,Anual,(%),,,20,BRA,True
THOMICFJ,Taxa de homicídios de jovens de 15 a 29 anos do sexo feminino (100.000 Habitantes),"Óbito por causa externa ou não-natural, indiferente do tempo entre o evento lesivo e a morte propriamente, é categorizado como consequente de lesão provocada por violência (acidentes, homicídios, suicídios ou morte suspeita). Neste caso, a taxa por 100.000 habitantes é calculada através da divisão do indicador principal (número de homicídios de jovens de 15 a 29 anos do sexo feminino) pelo total da população em questão, sendo este resultado multiplicado por 100.000. Fonte: Os dados originais são provenientes do SIM-DATASUS. Até 1995 as informações são do CID9. A partir de 1996 são do CID10. Elaboração Ipeadata: Cálculo da Taxa, divisão do grupo populacional multiplicado por 100.000 pela população de referência. Mais informações: Texto para Discussão IPEA 1848 e Declaração de Óbito (PDF).",2025-05-23T16:44:13.75-03:00,Regional,IPEA,Instituto de Pesquisa Econômica Aplicada,www.ipea.gov.br,Anual,(%),,,20,BRA,True
THOMICJ,Taxa de homicídios de jovens de 15 a 29 anos (100.000 Habitantes),"Óbito por causa externa ou não-natural, indiferente do tempo entre o evento lesivo e a morte propriamente, é categorizado como consequente de lesão provocada por violência (acidentes, homicídios, suicídios ou morte suspeita). Neste caso, a taxa por 100.000 habitantes é calculada através da divisão do indicador principal (número de homicídios de jovens de 15 a 29 anos) pelo total da população em questão, sendo este resultado multiplicado por 100.000. Fonte: Os dados originais são provenientes do SIM-DATASUS. Até 1995 as informações são do CID9. A partir de 1996 são do CID10. Elaboração Ipeadata: Cálculo da Taxa, divisão do grupo populacional multiplicado por 100.000 pela população de referência. Mais informações: Texto para Discussão IPEA 1848 e Declaração de Óbito (PDF).",2025-05-23T16:58:45.99-03:00,Regional,IPEA,Instituto de Pesquisa Econômica Aplicada,www.ipea.gov.br,Anual,(%),,,20,BRA,True
