YEAR,Homicídios (Número Absoluto),Taxa de Homicídios (por 100.000 hab.)
1980,2861.0,8.24
1981,3434.0,9.71
1982,3824.0,10.6
1983,4110.0,11.2
1984,4363.0,11.6
1985,4422.0,11.56
1986,4677.0,12.03
1987,4780.0,12.07
1988,5432.0,13.5
1989,6440.0,15.7
1990,6225.0,14.9
1991,6322.0,14.9
1992,6033.0,14.1
1993,7018.0,16.0
1994,6936.0,15.6
1995,7287.0,16.2
1996,8126.0,18.15
1997,8754.0,19.31
1998,8492.0,18.54
1999,8139.0,17.58
2000,9253.0,19.78
2001,10595.0,21.92
2002,10967.0,22.45
2003,11868.0,24.05
2004,11585.0,22.97
2005,13054.0,25.59
2006,14447.0,27.99
2007,15470.0,30.02
2008,17107.0,32.22
2009,17932.0,33.46
2010,18963.0,35.73
2011,19486.0,36.42
2012,21192.0,39.31
2013,22163.0,39.72
2014,23550.0,41.91
2015,23228.0,41.07
2016,24863.0,43.68
2017,27815.0,48.58
2018,24090.0,42.5
2019,18669.0,32.71
2020,22451.0,39.13
2021,21064.0,36.52
2022,20129.0,34.82
2023,19964.0,34.37564570562711
