YEAR,Homicídios (Número Absoluto),Taxa de Homicídios (por 100.000 hab.)
1980,1120.0,18.25
1981,1407.0,22.62
1982,1511.0,23.91
1983,1645.0,25.7
1984,1862.0,28.58
1985,2003.0,30.51
1986,2047.0,30.57
1987,2197.0,32.29
1988,2239.0,32.82
1989,2553.0,36.75
1990,2742.0,39.0
1991,2944.0,41.3
1992,2531.0,35.27
1993,2763.0,37.87
1994,2593.0,35.18
1995,2706.0,36.35
1996,3022.0,40.84
1997,3713.0,49.73
1998,4423.0,58.79
1999,4217.0,55.63
2000,4290.0,56.17
2001,4710.0,58.81
2002,4396.0,54.37
2003,4517.0,55.34
2004,4174.0,50.66
2005,4330.0,51.46
2006,4472.0,52.6
2007,4557.0,53.04
2008,4446.0,50.9
2009,3963.0,44.98
2010,3473.0,39.48
2011,3471.0,39.15
2012,3327.0,37.25
2013,3124.0,33.92
2014,3358.0,36.19
2015,3847.0,41.16
2016,4447.0,47.26
2017,5419.0,57.2
2018,4190.0,44.12
2019,3474.0,36.35
2020,3786.0,39.36
2021,3439.0,35.54
2022,3409.0,35.24
2023,3697.0,38.00760768993523
